seed,best_thr,acc,macro_f1,auc,w_text,w_image,w_emoji,w_multi
11,0.5,0.6549094375595805,0.5166760004072906,0.5026381523936536,0.49354424569013683,0.1642652322107144,0.15476777875503783,0.18742274334411085
22,0.5,0.6510962821734986,0.515464880309348,0.5026751976629728,0.43083992934016724,0.2610871067579843,0.04435321006858367,0.26371975383326485
33,0.5,0.6549094375595805,0.5166760004072906,0.5027069507509605,0.5007917704882671,0.15567581453015272,0.1600429048981544,0.18348951008342576
44,0.5,0.6510962821734986,0.5168161773589465,0.5019290000952593,0.09886888878667868,0.5276825572030361,0.10988939444612592,0.2635591595641593
55,0.5,0.6530028598665396,0.5153873489694385,0.5024635104097207,0.5216237183560715,0.12155098697658209,0.22228563901641632,0.13453965565093018
