model,status,error,params_trainable,best_val_macro_f1,best_thr,test_acc,test_macro_f1,test_auc,source
proposed_full_model,ok,,,0.5059948070461256,0.525,0.6472831267874166,0.5059948070461256,0.5032996750600662,D:\AI\outputs\runs_sarcasm_improve\improve_v4_lr3e-05_wd0.05_do0.5_bs8_ep8_fa0.6_fg1_SAMPLER
text_only_bilstm,ok,,25864065.0,0.548697464941796,0.6000000000000001,0.6701620591039085,0.5024756003947801,0.5215490862279998,
text_only_textcnn,ok,,25796993.0,0.5284073459861188,0.55,0.6587225929456625,0.5091980762193529,0.510691448951167,
image_only_resnet50,ok,,23510081.0,0.5172355426890481,0.4,0.6959008579599618,0.5063718743592354,0.474945131473431,
text_image_concat,ok,,49962177.0,0.5307828364069574,0.45,0.67302192564347,0.49037062846928614,0.4627632634111341,
text_image_clipfusion,ok,,50252545.0,0.5045824898785425,0.5,0.6339370829361296,0.48730271866408714,0.4703894610222428,
hybrid_concat_emoji,ok,,49971425.0,0.5296933085501858,0.45,0.669208770257388,0.5083704641133656,0.4776938336217449,
hybrid_crossattn_no_gwo,ok,,50066145.0,0.5113773690570932,0.55,0.6062917063870352,0.46434660689094104,0.4628371248892078,
